2026-03-13 10:54:00 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:54:03 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:54:05 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:54:08 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:54:11 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:54:15 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:54:20 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:54:28 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:55:10 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:56:03 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:57:05 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:58:04 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:58:06 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:58:09 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:58:10 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:58:13 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:58:17 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 10:58:21 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 11:01:38 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 11:01:41 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 11:01:44 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 11:01:45 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 11:06:42 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 11:06:45 [ERROR]: Failed to connect to database. Exiting...
2026-03-13 13:22:32 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:22:46 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:23:13 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:24:06 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:25:08 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:34:36 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:34:38 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:34:39 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:34:41 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:34:43 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:34:46 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:34:51 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:34:58 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:35:12 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:35:39 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:35:47 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:35:48 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:35:50 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:35:51 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:35:53 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:35:55 [ERROR]: ❌ Erreur de connexion : Access denied for user 'admin'@'172.19.0.4' (using password: YES) (host=mysql, user=admin, database=eventdkc2)
2026-03-13 13:51:45 [ERROR]: ❌ Erreur de connexion : connect ECONNREFUSED 172.19.0.3:3307 (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 13:51:49 [ERROR]: ❌ Erreur de connexion : connect ECONNREFUSED 172.19.0.3:3307 (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 13:51:58 [ERROR]: ❌ Erreur de connexion : connect ECONNREFUSED 172.19.0.3:3307 (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 13:55:44 [ERROR]: ❌ Erreur de connexion : connect ECONNREFUSED 172.19.0.2:3307 (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 13:55:46 [ERROR]: ❌ Erreur de connexion : connect ECONNREFUSED 172.19.0.2:3307 (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 13:55:49 [ERROR]: ❌ Erreur de connexion : connect ECONNREFUSED 172.19.0.2:3307 (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 13:55:59 [ERROR]: ❌ Erreur de connexion : connect ECONNREFUSED 172.19.0.2:3307 (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 13:59:56 [ERROR]: ❌ Erreur de connexion : connect ECONNREFUSED 172.19.0.2:3307 (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 13:59:58 [ERROR]: ❌ Erreur de connexion : connect ECONNREFUSED 172.19.0.2:3307 (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 14:00:00 [ERROR]: ❌ Erreur de connexion : connect ECONNREFUSED 172.19.0.2:3307 (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 14:05:21 [ERROR]: ❌ Erreur de connexion : Access denied for user 'eventdkc2_user'@'172.19.0.4' (using password: YES) (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 14:05:22 [ERROR]: ❌ Erreur de connexion : Access denied for user 'eventdkc2_user'@'172.19.0.4' (using password: YES) (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 14:05:24 [ERROR]: ❌ Erreur de connexion : Access denied for user 'eventdkc2_user'@'172.19.0.4' (using password: YES) (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 14:05:26 [ERROR]: ❌ Erreur de connexion : Access denied for user 'eventdkc2_user'@'172.19.0.4' (using password: YES) (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 14:05:28 [ERROR]: ❌ Erreur de connexion : Access denied for user 'eventdkc2_user'@'172.19.0.4' (using password: YES) (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 14:05:31 [ERROR]: ❌ Erreur de connexion : Access denied for user 'eventdkc2_user'@'172.19.0.4' (using password: YES) (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 14:05:35 [ERROR]: ❌ Erreur de connexion : Access denied for user 'eventdkc2_user'@'172.19.0.4' (using password: YES) (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 14:05:42 [ERROR]: ❌ Erreur de connexion : Access denied for user 'eventdkc2_user'@'172.19.0.4' (using password: YES) (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 14:06:54 [ERROR]: ❌ Erreur de connexion : Access denied for user 'eventdkc2_user'@'172.19.0.4' (using password: YES) (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 14:06:55 [ERROR]: ❌ Erreur de connexion : Access denied for user 'eventdkc2_user'@'172.19.0.4' (using password: YES) (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 14:06:57 [ERROR]: ❌ Erreur de connexion : Access denied for user 'eventdkc2_user'@'172.19.0.4' (using password: YES) (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
2026-03-13 14:06:58 [ERROR]: ❌ Erreur de connexion : Access denied for user 'eventdkc2_user'@'172.19.0.4' (using password: YES) (host=mysql, user=eventdkc2_user, database=eventdkc2_db)
